CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Tulare_01.01.2003-06.21.2013
357944N1190845W001,24S27E32M001M,10/25/2010,00:00,,9 - Acoustical sounder,463.000,0.000,463.000,544.720,544.720,81.720,463.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1190845W001,24S27E32M001M,1/10/2011,00:00,,9 - Acoustical sounder,438.000,0.000,438.000,544.720,544.720,106.720,438.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1190845W001,24S27E32M001M,10/17/2011,00:00,,9 - Acoustical sounder,454.000,0.000,454.000,544.720,544.720,90.720,454.000,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1190845W001,24S27E32M001M,10/8/2012,00:00,,9 - Acoustical sounder,483.000,0.000,483.000,544.720,544.720,61.720,483.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1190845W001,24S27E32M001M,1/16/2013,12:00,,9 - Acoustical sounder,469.000,0.000,469.000,544.720,544.720,75.720,469.000,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1191878W001,,1/4/2005,00:00,6 - Well has been destroyed,,,,,400.670,400.670,,,,,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1191878W001,,4/4/2006,00:00,9 - Temporarily inaccessible,,,,,400.670,400.670,,,,,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1192145W001,,1/4/2004,00:00,,,180.000,0.000,180.000,361.660,360.660,181.660,179.000,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1192145W001,,1/4/2005,00:00,,,176.000,0.000,176.000,361.660,360.660,185.660,175.000,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1192145W001,,4/3/2006,00:00,,,218.000,0.000,218.000,361.660,360.660,143.660,217.000,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1192145W001,,3/28/2007,00:00,,,220.000,0.000,220.000,361.660,360.660,141.660,219.000,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1192145W001,,5/8/2008,00:00,,,224.000,0.000,224.000,361.660,360.660,137.660,223.000,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1192145W001,,11/6/2006,00:00,,,216.000,0.000,216.000,361.660,360.660,145.660,215.000,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357944N1192145W001,,9/24/2009,00:00,3 - Tape hung up,,,,,361.660,360.660,,,,,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357947N1192684W001,,1/4/2004,00:00,,,129.000,0.000,129.000,296.150,294.650,167.150,127.500,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357947N1192684W001,,1/4/2005,00:00,,,88.000,0.000,88.000,296.150,294.650,208.150,86.500,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357947N1192684W001,,3/30/2006,00:00,1 - Pumping,,,,,296.150,294.650,,,,,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357947N1192684W001,,3/27/2007,00:00,1 - Pumping,,,,,296.150,294.650,,,,,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357947N1192684W001,,5/7/2008,00:00,1 - Pumping,,,,,296.150,294.650,,,,,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357947N1192684W001,,11/6/2006,00:00,,,70.000,0.000,70.000,296.150,294.650,226.150,68.500,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357953N1194009W002,,1/23/2003,00:00,6 - Well has been destroyed,,,,,228.130,227.630,,,,,Bureau of Reclamation,Voluntary,,Tulare_01.01.2003-06.21.2013
357953N1194009W002,,10/3/2003,00:00,6 - Well has been destroyed,,,,,228.130,227.630,,,,,Bureau of Reclamation,Voluntary,,Tulare_01.01.2003-06.21.2013
357953N1194009W002,,2/19/2008,00:00,2 - Pump house locked,,,,,228.130,227.630,,,,,Bureau of Reclamation,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,1/30/2012,00:00,,9 - Acoustical sounder,441.000,0.000,441.000,543.220,542.720,102.220,440.500,AS - Acoustic or sonic sounder,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,1/30/2003,00:00,,9 - Acoustical sounder,424.000,0.000,424.000,543.220,542.720,119.220,423.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,10/30/2003,00:00,,9 - Acoustical sounder,453.000,0.000,453.000,543.220,542.720,90.220,452.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,1/29/2004,00:00,,9 - Acoustical sounder,422.000,0.000,422.000,543.220,542.720,121.220,421.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,11/25/2004,00:00,,,457.000,0.000,457.000,543.220,542.720,86.220,456.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
